Datum,Kategorie,Name,Studierendenpreis,Preis andere,Nutriscore,meta_kategorie,vegan,rahm,kartoffeln,kroketten,Krokette
2025-02-24,Eintopf,"""Blumenkohleintopf mit Kartoffeln und Kichererbsen""","1,64 €","3,20 €",A,Hauptgericht,0.0,0.0,1.0,0.0,
2025-02-24,Essen 1,Semmelknödel mit Waldpilzen,"1,92 €","3,74 €",B,Hauptgericht,0.0,0.0,0.0,0.0,
2025-02-24,Essen 2,Mediterrane Hackfleisch-Nudel -Pfanne mit Gemüse und Tomaten,"2,08 €","4,06 €",A,Hauptgericht,0.0,0.0,0.0,0.0,
2025-02-24,Vegan,Gefüllte Frühlingsrolle an Sweet Chilisoße,"2,98 €","5,81 €",B,Hauptgericht,1.0,0.0,0.0,0.0,
2025-02-24,Wok-/Grill,"""Pierogi"" mit Kartoffel-Quarkfüllung, Gemüsestiften und Schnittlauch-Crème-fraîche","2,74 €","4,61 €",C,Special,0.0,0.0,1.0,0.0,
2025-02-24,Beilage 1,Pommes frites,"0,60 €","1,17 €",C,Beilage,0.0,0.0,0.0,0.0,
2025-02-24,Beilage 2,Reis mit Gemüse,"0,60 €","1,17 €",A,Beilage,0.0,0.0,0.0,0.0,
2025-02-24,Dessert 1,Erdbeercremejoghurt,"0,46 €","0,90 €",B,Dessert,0.0,0.0,0.0,0.0,
2025-02-24,Dessert Gläser,Dessert im Glas,"1,60 €","1,60 €",C,Dessert,0.0,0.0,0.0,0.0,
2025-02-24,Gemüse 1,Brokkoli,"0,76 €","1,48 €",A,Gemüse,0.0,0.0,0.0,0.0,
2025-02-24,Gemüse 2,Balkangemüse,"0,46 €","0,90 €",A,Gemüse,0.0,0.0,0.0,0.0,
2025-02-24,Salat,Kleine Salatschale,"0,60 €","1,17 €",C,Gemüse,0.0,0.0,0.0,0.0,
2025-02-24,Suppe,Kohlrabicremesuppe,"0,50 €","0,98 €",A,Hauptgericht,0.0,0.0,0.0,0.0,
2025-02-25,Eintopf,Unser Bestseller: Ungarische Gulaschsuppe,"3,28 €","6,40 €",A,Hauptgericht,0.0,0.0,0.0,0.0,
2025-02-25,Essen 1,"Penne ""Mykonos"" mit Gemüse und Hirtenkäse","1,66 €","3,24 €",A,Hauptgericht,0.0,0.0,0.0,0.0,
2025-02-25,Essen 2,Gebratenes Rotbarschfilet mit Kartoffelsalat,"2,96 €","5,77 €",A,Hauptgericht,0.0,0.0,1.0,0.0,
2025-02-25,Vegan,Sojastreifen Budapest mit Paprikastreifen und Tomate,"1,62 €","3,16 €",A,Hauptgericht,1.0,0.0,0.0,0.0,
2025-02-25,Wok-/Grill,"""Pimp your Burger"" - Kross gebratenes Gemüse-Patty mit Pommes frites und Toppings nach Wahl","5,82 €","7,69 €",C,Special,0.0,0.0,0.0,0.0,
